image,csv,width,height,lon_min,lon_max,lat_min,lat_max,rows,status
ch2_ohr_ncp_20251105T1048273563.png,ch2_ohr_ncp_20251105T1048273563.csv,1200,10107,113.836622,232.100937,-89.9256126,-89.1905476,122452,OK
ch2_ohr_ncp_20251108T1528478395.png,ch2_ohr_ncp_20251108T1528478395.csv,1200,10107,30.5817828,33.9906144,-84.5142757,-83.6838244,122452,OK
ch2_ohr_ncp_20251108T1528478464.png,ch2_ohr_ncp_20251108T1528478464.csv,1200,10107,30.58088,33.989377,-84.5139336,-83.6834797,122452,OK
ch2_ohr_ncp_20251108T1727303521.png,ch2_ohr_ncp_20251108T1727303521.csv,1200,10107,30.3506941,33.8735039,-84.5211182,-83.6865497,122452,OK
ch2_ohr_ncp_20251108T1727303562.png,ch2_ohr_ncp_20251108T1727303562.csv,1200,10107,30.3501468,33.8727572,-84.5209235,-83.6863531,122452,OK
ch2_ohr_ncp_20251108T1924377926.png,ch2_ohr_ncp_20251108T1924377926.csv,1200,10107,29.8099556,33.3693505,-84.4653868,-83.6371109,122452,OK
ch2_ohr_ncp_20251108T2123191997.png,ch2_ohr_ncp_20251108T2123191997.csv,1200,10107,29.7620079,33.4885968,-84.4804246,-83.6542729,122452,OK
ch2_ohr_ncp_20251108T2123192047.png,ch2_ohr_ncp_20251108T2123192047.csv,1200,10107,29.7612447,33.4875941,-84.4801839,-83.6540215,122452,OK
ch2_ohr_ncp_20251109T0909533586.png,ch2_ohr_ncp_20251109T0909533586.csv,1200,6527,23.214544,26.3259265,-85.1558573,-84.6126639,79134,OK
ch2_ohr_ncp_20251109T0909533595.png,ch2_ohr_ncp_20251109T0909533595.csv,1200,10106,22.2549039,26.3040991,-85.1454793,-84.3199028,122452,OK
ch2_ohr_ncp_20251109T1108358496.png,ch2_ohr_ncp_20251109T1108358496.csv,1200,1675,24.4715168,26.1105221,-85.0979752,-84.9311218,20449,OK
ch2_ohr_ncp_20251109T1108358871.png,ch2_ohr_ncp_20251109T1108358871.csv,1200,10105,21.9797918,26.1096078,-85.097783,-84.2698415,122452,OK
ch2_ohr_ncp_20251109T1305444583.png,ch2_ohr_ncp_20251109T1305444583.csv,1200,7376,22.3658036,25.8406305,-85.1149418,-84.5064534,89419,OK
ch2_ohr_ncp_20251109T1504259907.png,ch2_ohr_ncp_20251109T1504259907.csv,1200,9993,21.4143291,25.7417881,-85.0754647,-84.2644566,121121,OK
ch2_ohr_ncp_20251109T1504259954.png,ch2_ohr_ncp_20251109T1504259954.csv,1200,10106,21.3815632,25.7405794,-85.0752274,-84.2553708,122452,OK
ch2_ohr_ncp_20251109T1504259978.png,ch2_ohr_ncp_20251109T1504259978.csv,1200,10106,21.3812172,25.7400965,-85.0751324,-84.2552742,122452,OK
