Fold,Held-Out Pair,Primary Selected,Rule Triggered,Decision Reason,Quality Gate,Final Matcher,1. Robustness,2. Accuracy,3. Efficiency,4. Spatial Quality,5. Overall Practical Choice,Scientific Note
Fold 1,pair_01,LoFTR,Rule A (Robustness Priority),Low intensity contrast (std 14.02 < 20.0) suppresses gradient/corner detectors (SIFT/SuperPoint).; Small resolution (528 px < 600 px) yields insufficient classical keypoints.; LoFTR selected for dense feature regression across low-contrast lunar regolith.,PASS,LoFTR,PASS (Valid Check),OPTIMAL / NEAR-OPTIMAL (1.7188 px vs 1.7188 px),STANDARD LATENCY (3.19s),"Occupancy 88.9%, CV 0.5329",OPTIMAL PARETO CHOICE,Fit RMSE is never used as a substitute for held-out Check RMSE.
Fold 2,pair_02,SIFT,Rule C (Speed Priority),Standard resolution (1000 px) with moderate-to-high contrast (std 29.27).; High texture density (gradient mean 74.78 >= 18.0).; SIFT expected to deliver 25x faster runtime (<1.5s) with sub-pixel held-out precision.,PASS,SIFT,PASS (Valid Check),OPTIMAL / NEAR-OPTIMAL (0.0045 px vs 0.0000 px),"HIGH SPEEDUP (1.56s vs 30.98s, >5x faster)","Occupancy 100.0%, CV 0.0000",OPTIMAL PARETO CHOICE,Fit RMSE is never used as a substitute for held-out Check RMSE.
Fold 3,pair_03,SIFT,Rule C (Speed Priority),Standard resolution (900 px) with moderate-to-high contrast (std 46.15).; High texture density (gradient mean 67.78 >= 18.0).; SIFT expected to deliver 25x faster runtime (<1.5s) with sub-pixel held-out precision.,PASS,SIFT,PASS (Valid Check),OPTIMAL / NEAR-OPTIMAL (0.0072 px vs 0.0000 px),"HIGH SPEEDUP (1.03s vs 26.05s, >5x faster)","Occupancy 100.0%, CV 0.0000",OPTIMAL PARETO CHOICE,Fit RMSE is never used as a substitute for held-out Check RMSE.
Fold 4,pair_04,SIFT,Rule C (Speed Priority),Standard resolution (900 px) with moderate-to-high contrast (std 28.15).; High texture density (gradient mean 68.48 >= 18.0).; SIFT expected to deliver 25x faster runtime (<1.5s) with sub-pixel held-out precision.,PASS,SIFT,PASS (Valid Check),OPTIMAL / NEAR-OPTIMAL (0.0034 px vs 0.0000 px),"HIGH SPEEDUP (1.32s vs 27.57s, >5x faster)","Occupancy 100.0%, CV 0.0000",OPTIMAL PARETO CHOICE,Fit RMSE is never used as a substitute for held-out Check RMSE.
