Pair,Primary Selected,Rule Triggered,Decision Reason,Quality Gate Passed?,Fallback Used?,Fallback Target,Final Matcher,Actual Best Matcher,Selection Correct?,Comparison Category
pair_01,LoFTR,Rule A (Robustness Priority),Low intensity contrast (std 14.02 < 20.0) suppresses gradient/corner detectors (SIFT/SuperPoint).; Small resolution (528 px < 600 px) yields insufficient classical keypoints.; LoFTR selected for dense feature regression across low-contrast lunar regolith.,Yes,No,,LoFTR,LoFTR,Yes,SIMILAR
pair_02,SIFT,Rule C (Speed Priority),Standard resolution (1000 px) with moderate-to-high contrast (std 29.27).; High texture density (gradient mean 74.78 >= 18.0).; SIFT expected to deliver 25x faster runtime (<1.5s) with sub-pixel held-out precision.,Yes,No,,SIFT,SuperGlue,Yes,SIMILAR
pair_03,SIFT,Rule C (Speed Priority),Standard resolution (900 px) with moderate-to-high contrast (std 46.15).; High texture density (gradient mean 67.78 >= 18.0).; SIFT expected to deliver 25x faster runtime (<1.5s) with sub-pixel held-out precision.,Yes,No,,SIFT,SuperGlue,Yes,SIMILAR
pair_04,SIFT,Rule C (Speed Priority),Standard resolution (900 px) with moderate-to-high contrast (std 28.15).; High texture density (gradient mean 68.48 >= 18.0).; SIFT expected to deliver 25x faster runtime (<1.5s) with sub-pixel held-out precision.,Yes,No,,SIFT,SuperGlue,Yes,SIMILAR
